			 			12252
IEEE			IEEE			1669
Microsoft			Microsoft			1117
Carnegie Mellon University			Carnegie Mellon University			896
Stanford University			Stanford University			768
Massachusetts Institute of Technology			Massachusetts Institute of Technology			688
Microsoft Research Asia, Beijing, China			Microsoft			549
National University of Singapore			National University of Singapore			548
Georgia Institute of Technology			Georgia Institute of Technology			454
University of California Berkeley			University of California, Berkeley			438
Carnegie Mellon University, Pittsburgh, PA			Carnegie Mellon University			432
Nanyang Technological University			Nanyang Technological University			432
Carnegie Mellon University, Pittsburgh, PA, USA			Carnegie Mellon University			428
Microsoft Research, Redmond, WA, USA			Microsoft			413
IBM			IBM			411
University of Toronto			University of Toronto			408
University of Washington			University of Washington			407
Microsoft Research			Microsoft			405
University of Illinois Urbana Champaign			University of Illinois at Urbana-Champaign			401
University of Maryland			University of Maryland			401
National University of Singapore, Singapore, Singapore			National University of Singapore			397
University of Southern California			University of Southern California			376
Cornell University			Cornell University			363
Columbia University			Columbia University			361
Chinese Academy of Sciences			Chinese Academy of Sciences			356
University of California San Diego			University of California, San Diego			355
National Taiwan University			National Taiwan University			346
Princeton University			Princeton University			338
École Polytechnique Fédérale de Lausanne			École Polytechnique Fédérale de Lausanne			331
Purdue University			Purdue University			330
Chinese University of Hong Kong			Chinese University of Hong Kong			325
Stanford University, Stanford, CA			Stanford University			311
Microsoft Research, Redmond, WA			Microsoft			296
Tsinghua University, Beijing, China			Tsinghua University			295
University of California Los Angeles			University of California, Los Angeles			293
University of Washington, Seattle, WA, USA			University of Washington			293
Arizona State University			Arizona State University			286
University of Pennsylvania			University of Pennsylvania			286
Swiss Federal Institute of Technology Zurich			ETH Zurich			277
University of British Columbia			University of British Columbia			272
University of Texas Austin			University of Texas at Austin			271
Hong Kong University of Science & Technology			Hong Kong University of Science and Technology			267
University of Illinois at Urbana-Champaign, Urbana, IL, USA			University of Illinois at Urbana-Champaign			267
City University of Hong Kong			City University of Hong Kong			265
Tsinghua University China			Tsinghua University			263
University College London			UCL			253
Google Inc.			Google			247
Stanford University, Stanford, CA, USA			Stanford University			245
Zhejiang University			Zhejiang University			244
National Taiwan University, Taipei, Taiwan Roc			National Taiwan University			230
University of Michigan			University of Michigan			227
IEEE Computer Society			IEEE			222
University of California, Berkeley			University of California, Berkeley			221
Georgia Institute of Technology, Atlanta, GA, USA			Georgia Institute of Technology			220
University of Illinois at Urbana-Champaign			University of Illinois at Urbana-Champaign			216
New York University			New York University			211
Cornell University, Ithaca, NY, USA			Cornell University			210
University of Waterloo			University of Waterloo			210
Cornell University, Ithaca, NY			Cornell University			208
University of Toronto, Toronto, ON, Canada			University of Toronto			208
University of Cambridge			University of Cambridge			203
University of Minnesota			University of Minnesota			199
Siemens			Siemens			196
University of Alberta			University of Alberta			196
Harvard University			Harvard University			195
Microsoft Research Asia			Microsoft			189
Intel Corporation			Intel			188
Peking University			Peking University			187
National University of Singapore, Singapore			National University of Singapore			186
University of Washington, Seattle, WA			University of Washington			186
Peking University, Beijing, China			Peking University			181
Technion Israel Institute of Technology			Technion - Israel Institute of Technology			181
Tel Aviv University			Tel Aviv University			176
University of Edinburgh			University of Edinburgh			176
University of California Irvine			University of California, Irvine			174
University of Tokyo			The University of Tokyo			174
University of California, San Diego			University of California, San Diego			173
Pennsylvania State University			Pennsylvania State University			172
Hong Kong Polytechnic University			The Hong Kong Polytechnic University			167
Northwestern University			Northwestern University			167
